W1	W1
W2	W2
UNTR_d-2_GR_M_a1	UNTR_d-2_GR_M
UNTR_d-2_GR_M_a2	UNTR_d-2_GR_M
UNTR_d-2_GR_M_a3	UNTR_d-2_GR_M
UNTR_d-2_GR_M_a4	UNTR_d-2_GR_M
UNTR_d-2_GR_M_a5	UNTR_d-2_GR_M
UNTR_d-2_GR_M_a6	UNTR_d-2_GR_M
UNTR_d-2_GR_M_a7	UNTR_d-2_GR_M
UNTR_d-2_GR_M_a8	UNTR_d-2_GR_M
UNTR_d-2_GR_M_a9	UNTR_d-2_GR_M
UNTR_d-2_GR_M_a10	UNTR_d-2_GR_M
UNTR_d-2_GR_F_a11	UNTR_d-2_GR_F
UNTR_d-2_GR_F_a12	UNTR_d-2_GR_F
UNTR_d-2_GR_F_a13	UNTR_d-2_GR_F
UNTR_d-2_GR_F_a14	UNTR_d-2_GR_F
UNTR_d-2_GR_F_a15	UNTR_d-2_GR_F
UNTR_d-2_GR_F_a16	UNTR_d-2_GR_F
UNTR_d-2_GR_F_a17	UNTR_d-2_GR_F
UNTR_d-2_GR_F_a18	UNTR_d-2_GR_F
UNTR_d-2_GR_F_a19	UNTR_d-2_GR_F
UNTR_d-2_GR_F_a20	UNTR_d-2_GR_F
ABX10_d-2_GR_M_a21	ABX10_d-2_GR_M
ABX10_d-2_GR_M_a22	ABX10_d-2_GR_M
ABX10_d-2_GR_M_a23	ABX10_d-2_GR_M
ABX10_d-2_GR_M_a24	ABX10_d-2_GR_M
ABX10_d-2_GR_M_a25	ABX10_d-2_GR_M
ABX10_d-2_GR_M_a26	ABX10_d-2_GR_M
ABX10_d-2_GR_M_a27	ABX10_d-2_GR_M
ABX10_d-2_GR_M_a28	ABX10_d-2_GR_M
ABX10_d-2_GR_M_a29	ABX10_d-2_GR_M
ABX10_d-2_GR_M_a30	ABX10_d-2_GR_M
ABX10_d-2_GR_F_a31	ABX10_d-2_GR_F
ABX10_d-2_GR_F_a32	ABX10_d-2_GR_F
ABX10_d-2_GR_F_a33	ABX10_d-2_GR_F
ABX10_d-2_GR_F_a34	ABX10_d-2_GR_F
ABX10_d-2_GR_F_a35	ABX10_d-2_GR_F
ABX10_d-2_GR_F_a36	ABX10_d-2_GR_F
ABX10_d-2_GR_F_a37	ABX10_d-2_GR_F
ABX10_d-2_GR_F_a38	ABX10_d-2_GR_F
ABX10_d-2_GR_F_a39	ABX10_d-2_GR_F
ABX10_d-2_GR_F_a40	ABX10_d-2_GR_F
ABX3CMT_d-2_GR_M_a41	ABX3CMT_d-2_GR_M
ABX3CMT_d-2_GR_M_a42	ABX3CMT_d-2_GR_M
ABX3CMT_d-2_GR_M_a43	ABX3CMT_d-2_GR_M
ABX3CMT_d-2_GR_M_a44	ABX3CMT_d-2_GR_M
ABX3CMT_d-2_GR_M_a45	ABX3CMT_d-2_GR_M
ABX3CMT_d-2_GR_M_a46	ABX3CMT_d-2_GR_M
ABX3CMT_d-2_GR_M_a47	ABX3CMT_d-2_GR_M
ABX3CMT_d-2_GR_M_a48	ABX3CMT_d-2_GR_M
ABX3CMT_d-2_GR_M_a49	ABX3CMT_d-2_GR_M
ABX3CMT_d-2_GR_M_a50	ABX3CMT_d-2_GR_M
ABX3CMT_d-2_GR_F_a51	ABX3CMT_d-2_GR_F
ABX3CMT_d-2_GR_F_a52	ABX3CMT_d-2_GR_F
ABX3CMT_d-2_GR_F_a53	ABX3CMT_d-2_GR_F
ABX3CMT_d-2_GR_F_a54	ABX3CMT_d-2_GR_F
ABX3CMT_d-2_GR_F_a55	ABX3CMT_d-2_GR_F
ABX3CMT_d-2_GR_F_a56	ABX3CMT_d-2_GR_F
ABX3CMT_d-2_GR_F_a57	ABX3CMT_d-2_GR_F
ABX3CMT_d-2_GR_F_a58	ABX3CMT_d-2_GR_F
ABX3CMT_d-2_GR_F_a59	ABX3CMT_d-2_GR_F
ABX3CMT_d-2_GR_F_a60	ABX3CMT_d-2_GR_F
CMT_d-2_GR_M_a61	CMT_d-2_GR_M
CMT_d-2_GR_M_a62	CMT_d-2_GR_M
CMT_d-2_GR_M_a63	CMT_d-2_GR_M
CMT_d-2_GR_M_a64	CMT_d-2_GR_M
CMT_d-2_GR_M_a65	CMT_d-2_GR_M
CMT_d-2_GR_M_a66	CMT_d-2_GR_M
CMT_d-2_GR_M_a67	CMT_d-2_GR_M
CMT_d-2_GR_M_a68	CMT_d-2_GR_M
CMT_d-2_GR_M_a69	CMT_d-2_GR_M
CMT_d-2_GR_M_a70	CMT_d-2_GR_M
CMT_d-2_GR_F_a71	CMT_d-2_GR_F
CMT_d-2_GR_F_a72	CMT_d-2_GR_F
CMT_d-2_GR_F_a73	CMT_d-2_GR_F
CMT_d-2_GR_F_a74	CMT_d-2_GR_F
CMT_d-2_GR_F_a75	CMT_d-2_GR_F
CMT_d-2_GR_F_a76	CMT_d-2_GR_F
CMT_d-2_GR_F_a77	CMT_d-2_GR_F
CMT_d-2_GR_F_a78	CMT_d-2_GR_F
CMT_d-2_GR_F_a79	CMT_d-2_GR_F
CMT_d-2_GR_F_a80	CMT_d-2_GR_F
UNTR_d-2_LJ_M_a1	UNTR_d-2_LJ_M
UNTR_d-2_LJ_M_a2	UNTR_d-2_LJ_M
UNTR_d-2_LJ_M_a3	UNTR_d-2_LJ_M
UNTR_d-2_LJ_M_a4	UNTR_d-2_LJ_M
UNTR_d-2_LJ_M_a5	UNTR_d-2_LJ_M
UNTR_d-2_LJ_M_a6	UNTR_d-2_LJ_M
UNTR_d-2_LJ_M_a7	UNTR_d-2_LJ_M
UNTR_d-2_LJ_M_a8	UNTR_d-2_LJ_M
UNTR_d-2_LJ_M_a9	UNTR_d-2_LJ_M
UNTR_d-2_LJ_M_a10	UNTR_d-2_LJ_M
UNTR_d-2_LJ_F_a11	UNTR_d-2_LJ_F
UNTR_d-2_LJ_F_a12	UNTR_d-2_LJ_F
UNTR_d-2_LJ_F_a13	UNTR_d-2_LJ_F
UNTR_d-2_LJ_F_a14	UNTR_d-2_LJ_F
UNTR_d-2_LJ_F_a15	UNTR_d-2_LJ_F
UNTR_d-2_LJ_F_a16	UNTR_d-2_LJ_F
UNTR_d-2_LJ_F_a17	UNTR_d-2_LJ_F
UNTR_d-2_LJ_F_a18	UNTR_d-2_LJ_F
UNTR_d-2_LJ_F_a19	UNTR_d-2_LJ_F
UNTR_d-2_LJ_F_a20	UNTR_d-2_LJ_F
ABX10_d-2_LJ_M_a21	ABX10_d-2_LJ_M
ABX10_d-2_LJ_M_a22	ABX10_d-2_LJ_M
ABX10_d-2_LJ_M_a23	ABX10_d-2_LJ_M
ABX10_d-2_LJ_M_a24	ABX10_d-2_LJ_M
ABX10_d-2_LJ_M_a25	ABX10_d-2_LJ_M
ABX10_d-2_LJ_M_a26	ABX10_d-2_LJ_M
ABX10_d-2_LJ_M_a27	ABX10_d-2_LJ_M
ABX10_d-2_LJ_M_a28	ABX10_d-2_LJ_M
ABX10_d-2_LJ_M_a29	ABX10_d-2_LJ_M
ABX10_d-2_LJ_M_a30	ABX10_d-2_LJ_M
ABX10_d-2_LJ_F_a31	ABX10_d-2_LJ_F
ABX10_d-2_LJ_F_a32	ABX10_d-2_LJ_F
ABX10_d-2_LJ_F_a33	ABX10_d-2_LJ_F
ABX10_d-2_LJ_F_a34	ABX10_d-2_LJ_F
ABX10_d-2_LJ_F_a35	ABX10_d-2_LJ_F
ABX10_d-2_LJ_F_a36	ABX10_d-2_LJ_F
ABX10_d-2_LJ_F_a37	ABX10_d-2_LJ_F
ABX10_d-2_LJ_F_a38	ABX10_d-2_LJ_F
ABX10_d-2_LJ_F_a39	ABX10_d-2_LJ_F
ABX10_d-2_LJ_F_a40	ABX10_d-2_LJ_F
ABX3CMT_d-2_LJ_M_a41	ABX3CMT_d-2_LJ_M
ABX3CMT_d-2_LJ_M_a42	ABX3CMT_d-2_LJ_M
ABX3CMT_d-2_LJ_M_a43	ABX3CMT_d-2_LJ_M
ABX3CMT_d-2_LJ_M_a44	ABX3CMT_d-2_LJ_M
ABX3CMT_d-2_LJ_M_a45	ABX3CMT_d-2_LJ_M
ABX3CMT_d-2_LJ_M_a46	ABX3CMT_d-2_LJ_M
ABX3CMT_d-2_LJ_M_a47	ABX3CMT_d-2_LJ_M
ABX3CMT_d-2_LJ_M_a48	ABX3CMT_d-2_LJ_M
ABX3CMT_d-2_LJ_M_a49	ABX3CMT_d-2_LJ_M
ABX3CMT_d-2_LJ_M_a50	ABX3CMT_d-2_LJ_M
ABX3CMT_d-2_LJ_F_a51	ABX3CMT_d-2_LJ_F
ABX3CMT_d-2_LJ_F_a52	ABX3CMT_d-2_LJ_F
ABX3CMT_d-2_LJ_F_a53	ABX3CMT_d-2_LJ_F
ABX3CMT_d-2_LJ_F_a54	ABX3CMT_d-2_LJ_F
ABX3CMT_d-2_LJ_F_a55	ABX3CMT_d-2_LJ_F
ABX3CMT_d-2_LJ_F_a56	ABX3CMT_d-2_LJ_F
ABX3CMT_d-2_LJ_F_a57	ABX3CMT_d-2_LJ_F
ABX3CMT_d-2_LJ_F_a58	ABX3CMT_d-2_LJ_F
ABX3CMT_d-2_LJ_F_a59	ABX3CMT_d-2_LJ_F
ABX3CMT_d-2_LJ_F_a60	ABX3CMT_d-2_LJ_F
CMT_d-2_LJ_M_a61	CMT_d-2_LJ_M
CMT_d-2_LJ_M_a62	CMT_d-2_LJ_M
CMT_d-2_LJ_M_a63	CMT_d-2_LJ_M
CMT_d-2_LJ_M_a64	CMT_d-2_LJ_M
CMT_d-2_LJ_M_a65	CMT_d-2_LJ_M
CMT_d-2_LJ_M_a66	CMT_d-2_LJ_M
CMT_d-2_LJ_M_a67	CMT_d-2_LJ_M
CMT_d-2_LJ_M_a68	CMT_d-2_LJ_M
CMT_d-2_LJ_M_a69	CMT_d-2_LJ_M
CMT_d-2_LJ_M_a70	CMT_d-2_LJ_M
CMT_d-2_LJ_F_a71	CMT_d-2_LJ_F
CMT_d-2_LJ_F_a72	CMT_d-2_LJ_F
CMT_d-2_LJ_F_a73	CMT_d-2_LJ_F
CMT_d-2_LJ_F_a74	CMT_d-2_LJ_F
CMT_d-2_LJ_F_a75	CMT_d-2_LJ_F
CMT_d-2_LJ_F_a76	CMT_d-2_LJ_F
CMT_d-2_LJ_F_a77	CMT_d-2_LJ_F
CMT_d-2_LJ_F_a78	CMT_d-2_LJ_F
CMT_d-2_LJ_F_a79	CMT_d-2_LJ_F
CMT_d-2_LJ_F_a80	CMT_d-2_LJ_F
UNTR_d1_GR_M_a1	UNTR_d1_GR_M
UNTR_d1_GR_M_a2	UNTR_d1_GR_M
UNTR_d1_GR_M_a3	UNTR_d1_GR_M
UNTR_d1_GR_M_a4	UNTR_d1_GR_M
UNTR_d1_GR_M_a5	UNTR_d1_GR_M
UNTR_d1_GR_M_a6	UNTR_d1_GR_M
UNTR_d1_GR_M_a7	UNTR_d1_GR_M
UNTR_d1_GR_M_a8	UNTR_d1_GR_M
UNTR_d1_GR_M_a9	UNTR_d1_GR_M
UNTR_d1_GR_M_a10	UNTR_d1_GR_M
UNTR_d1_GR_F_a11	UNTR_d1_GR_F
UNTR_d1_GR_F_a12	UNTR_d1_GR_F
UNTR_d1_GR_F_a13	UNTR_d1_GR_F
UNTR_d1_GR_F_a14	UNTR_d1_GR_F
UNTR_d1_GR_F_a15	UNTR_d1_GR_F
UNTR_d1_GR_F_a16	UNTR_d1_GR_F
UNTR_d1_GR_F_a17	UNTR_d1_GR_F
UNTR_d1_GR_F_a18	UNTR_d1_GR_F
UNTR_d1_GR_F_a19	UNTR_d1_GR_F
UNTR_d1_GR_F_a20	UNTR_d1_GR_F
ABX10_d1_GR_M_a21	ABX10_d1_GR_M
ABX10_d1_GR_M_a22	ABX10_d1_GR_M
ABX10_d1_GR_M_a23	ABX10_d1_GR_M
ABX10_d1_GR_M_a24	ABX10_d1_GR_M
ABX10_d1_GR_M_a25	ABX10_d1_GR_M
ABX10_d1_GR_M_a26	ABX10_d1_GR_M
ABX10_d1_GR_M_a27	ABX10_d1_GR_M
ABX10_d1_GR_M_a28	ABX10_d1_GR_M
ABX10_d1_GR_M_a29	ABX10_d1_GR_M
ABX10_d1_GR_M_a30	ABX10_d1_GR_M
ABX10_d1_GR_F_a31	ABX10_d1_GR_F
ABX10_d1_GR_F_a32	ABX10_d1_GR_F
ABX10_d1_GR_F_a33	ABX10_d1_GR_F
ABX10_d1_GR_F_a34	ABX10_d1_GR_F
ABX10_d1_GR_F_a35	ABX10_d1_GR_F
ABX10_d1_GR_F_a36	ABX10_d1_GR_F
ABX10_d1_GR_F_a37	ABX10_d1_GR_F
ABX10_d1_GR_F_a38	ABX10_d1_GR_F
ABX10_d1_GR_F_a39	ABX10_d1_GR_F
ABX10_d1_GR_F_a40	ABX10_d1_GR_F
ABX3CMT_d1_GR_M_a41	ABX3CMT_d1_GR_M
ABX3CMT_d1_GR_M_a42	ABX3CMT_d1_GR_M
ABX3CMT_d1_GR_M_a43	ABX3CMT_d1_GR_M
ABX3CMT_d1_GR_M_a44	ABX3CMT_d1_GR_M
ABX3CMT_d1_GR_M_a45	ABX3CMT_d1_GR_M
ABX3CMT_d1_GR_M_a46	ABX3CMT_d1_GR_M
ABX3CMT_d1_GR_M_a47	ABX3CMT_d1_GR_M
ABX3CMT_d1_GR_M_a48	ABX3CMT_d1_GR_M
ABX3CMT_d1_GR_M_a49	ABX3CMT_d1_GR_M
