W1	W1
W2	W2
UNTR_d30_GR_M_a1	UNTR_GR_after
UNTR_d30_GR_M_a2	UNTR_GR_after
UNTR_d30_GR_M_a3	UNTR_GR_after
UNTR_d30_GR_M_a4	UNTR_GR_after
UNTR_d30_GR_M_a5	UNTR_GR_after
UNTR_d30_GR_M_a6	UNTR_GR_after
UNTR_d30_GR_M_a7	UNTR_GR_after
UNTR_d30_GR_M_a8	UNTR_GR_after
UNTR_d30_GR_M_a9	UNTR_GR_after
UNTR_d30_GR_M_a10	UNTR_GR_after
UNTR_d30_GR_F_a11	UNTR_GR_after
UNTR_d30_GR_F_a12	UNTR_GR_after
UNTR_d30_GR_F_a13	UNTR_GR_after
UNTR_d30_GR_F_a14	UNTR_GR_after
UNTR_d30_GR_F_a15	UNTR_GR_after
UNTR_d30_GR_F_a16	UNTR_GR_after
UNTR_d30_GR_F_a17	UNTR_GR_after
UNTR_d30_GR_F_a18	UNTR_GR_after
UNTR_d30_GR_F_a19	UNTR_GR_after
UNTR_d30_GR_F_a20	UNTR_GR_after
UNTR_d30_LJ_M_a1	UNTR_LJ_after
UNTR_d30_LJ_M_a2	UNTR_LJ_after
UNTR_d30_LJ_M_a3	UNTR_LJ_after
UNTR_d30_LJ_M_a4	UNTR_LJ_after
UNTR_d30_LJ_M_a5	UNTR_LJ_after
UNTR_d30_LJ_M_a6	UNTR_LJ_after
UNTR_d30_LJ_M_a7	UNTR_LJ_after
UNTR_d30_LJ_M_a8	UNTR_LJ_after
UNTR_d30_LJ_M_a10	UNTR_LJ_after
UNTR_d30_LJ_F_a11	UNTR_LJ_after
UNTR_d30_LJ_F_a12	UNTR_LJ_after
UNTR_d30_LJ_F_a13	UNTR_LJ_after
UNTR_d30_LJ_F_a14	UNTR_LJ_after
UNTR_d30_LJ_F_a15	UNTR_LJ_after
UNTR_d30_LJ_F_a16	UNTR_LJ_after
UNTR_d30_LJ_F_a17	UNTR_LJ_after
UNTR_d30_LJ_F_a18	UNTR_LJ_after
UNTR_d30_LJ_F_a19	UNTR_LJ_after
UNTR_d30_LJ_F_a20	UNTR_LJ_after
UNTR_d60_GR_M_a1	UNTR_GR_after
UNTR_d60_GR_M_a2	UNTR_GR_after
UNTR_d60_GR_M_a3	UNTR_GR_after
UNTR_d60_GR_M_a4	UNTR_GR_after
UNTR_d60_GR_M_a5	UNTR_GR_after
UNTR_d60_GR_M_a6	UNTR_GR_after
UNTR_d60_GR_M_a7	UNTR_GR_after
UNTR_d60_GR_M_a8	UNTR_GR_after
UNTR_d60_GR_M_a9	UNTR_GR_after
UNTR_d60_GR_M_a10	UNTR_GR_after
UNTR_d60_GR_F_a11	UNTR_GR_after
UNTR_d60_GR_F_a12	UNTR_GR_after
UNTR_d60_GR_F_a13	UNTR_GR_after
UNTR_d60_GR_F_a14	UNTR_GR_after
UNTR_d60_GR_F_a15	UNTR_GR_after
UNTR_d60_GR_F_a16	UNTR_GR_after
UNTR_d60_GR_F_a17	UNTR_GR_after
UNTR_d60_GR_F_a18	UNTR_GR_after
UNTR_d60_GR_F_a19	UNTR_GR_after
UNTR_d60_GR_F_a20	UNTR_GR_after
UNTR_d60_LJ_M_a1	UNTR_LJ_after
UNTR_d60_LJ_M_a2	UNTR_LJ_after
UNTR_d60_LJ_M_a3	UNTR_LJ_after
UNTR_d60_LJ_M_a4	UNTR_LJ_after
UNTR_d60_LJ_M_a5	UNTR_LJ_after
UNTR_d60_LJ_M_a6	UNTR_LJ_after
UNTR_d60_LJ_M_a7	UNTR_LJ_after
UNTR_d60_LJ_M_a8	UNTR_LJ_after
UNTR_d60_LJ_M_a9	UNTR_LJ_after
UNTR_d60_LJ_M_a10	UNTR_LJ_after
UNTR_d60_LJ_F_a11	UNTR_LJ_after
UNTR_d60_LJ_F_a12	UNTR_LJ_after
UNTR_d60_LJ_F_a13	UNTR_LJ_after
UNTR_d60_LJ_F_a14	UNTR_LJ_after
UNTR_d60_LJ_F_a15	UNTR_LJ_after
UNTR_d60_LJ_F_a16	UNTR_LJ_after
UNTR_d60_LJ_F_a17	UNTR_LJ_after
UNTR_d60_LJ_F_a18	UNTR_LJ_after
UNTR_d60_LJ_F_a19	UNTR_LJ_after
UNTR_d60_LJ_F_a20	UNTR_LJ_after
UNTR_d-2_GR_M_a1	UNTR_GR_before
UNTR_d-2_GR_M_a2	UNTR_GR_before
UNTR_d-2_GR_M_a3	UNTR_GR_before
UNTR_d-2_GR_M_a4	UNTR_GR_before
UNTR_d-2_GR_M_a5	UNTR_GR_before
